dataset,su,algorithm,status,runtime_s,memory_mb,candidate,explored,patterns
BIBLE,0.025,USpan,OK,10.066,1146.0,6650018.0,17669.0,177.0
BIBLE,0.025,HUSP-ULL,OK,72.222,8804.0,6650018.0,3924.0,177.0
BIBLE,0.025,IncUSP-Miner+,OK,100.279,21275.0,8755732.0,5673.0,177.0
BIBLE,0.025,Pre-HUSPM,OK,36.846,12042.0,9664898.0,9664898.0,177.0
BIBLE,0.025,Adaptive-Full,OK,1.104,238.0,9664898.0,16477.0,177.0
BMS1,0.014,USpan,OK,3.887,256.0,4235939.0,752170.0,20.0
BMS1,0.014,HUSP-ULL,OK,0.732,773.0,4235939.0,16978.0,20.0
BMS1,0.014,IncUSP-Miner+,OK,1.033,971.0,4235939.0,16851.0,20.0
BMS1,0.014,Pre-HUSPM,OK,22.832,7943.0,389388611.0,389388611.0,20.0
BMS1,0.014,Adaptive-Full,OK,3.095,95.0,389388611.0,1634034.0,20.0
FIFA,0.05,USpan,OK,1159.878,962.0,468021258.0,4081787.0,18.0
FIFA,0.05,HUSP-ULL,OK,650.931,3120.0,468021258.0,601050.0,18.0
FIFA,0.05,IncUSP-Miner+,OOM,,,,,
FIFA,0.05,Pre-HUSPM,OK,482.1,3330.0,1114044735.0,1114044735.0,18.0
FIFA,0.05,Adaptive-Full,OK,104.633,213.0,1114044735.0,1537429.0,18.0
KOSARAK,0.03,USpan,OK,81.321,3739.0,11047530.0,9929.0,6.0
KOSARAK,0.03,HUSP-ULL,OK,30.848,8259.0,11047530.0,1500.0,6.0
KOSARAK,0.03,IncUSP-Miner+,OK,44.364,10596.0,11047530.0,1228.0,6.0
KOSARAK,0.03,Pre-HUSPM,OK,19.075,8881.0,26158733.0,26158733.0,6.0
KOSARAK,0.03,Adaptive-Full,OK,16.143,1584.0,26158733.0,38583.0,6.0
LEVIATHAN,0.06,USpan,OK,1.175,232.0,1570930.0,5993.0,113.0
LEVIATHAN,0.06,HUSP-ULL,OK,7.093,6087.0,1570930.0,1138.0,113.0
LEVIATHAN,0.06,IncUSP-Miner+,OK,7.762,7125.0,2053580.0,1571.0,113.0
LEVIATHAN,0.06,Pre-HUSPM,OOM,,,,,
LEVIATHAN,0.06,Adaptive-Full,OK,0.126,38.0,2353074.0,8292.0,113.0
SIGN,0.025,USpan,OK,30.665,81.0,44190746.0,4822460.0,641.0
SIGN,0.025,HUSP-ULL,OK,8.042,323.0,44190746.0,326393.0,641.0
SIGN,0.025,IncUSP-Miner+,OK,13.333,9552.0,44190746.0,326348.0,641.0
SIGN,0.025,Pre-HUSPM,OK,6.405,1445.0,80605452.0,80605452.0,641.0
SIGN,0.025,Adaptive-Full,OK,1.67,48.0,80605452.0,647607.0,641.0
