scenario,dataset,total,OK,OT,OOM,Fail,MemSkip,Skip
SC1,BIBLE,20,20,0,0,0,0,0
SC1,BMS1,20,20,0,0,0,0,0
SC1,FIFA,20,16,0,4,0,0,0
SC1,KOSARAK,20,20,0,0,0,0,0
SC1,LEVIATHAN,20,17,0,3,0,0,0
SC1,SIGN,20,20,0,0,0,0,0
SC2,BIBLE,18,14,0,1,0,0,3
SC2,BMS1,18,14,0,2,0,0,2
SC2,FIFA,18,12,0,1,0,0,5
SC2,KOSARAK,18,14,0,1,0,0,3
SC2,LEVIATHAN,18,12,0,1,0,0,5
SC2,SIGN,18,15,0,1,0,0,2
SC3,KOSARAK,20,20,0,0,0,0,0
SC3,LEVIATHAN,20,20,0,0,0,0,0
SC3,SIGN,20,20,0,0,0,0,0
SC4,KOSARAK,8,6,2,0,0,0,0
SC4,LEVIATHAN,8,6,0,2,0,0,0
SC4,SIGN,8,8,0,0,0,0,0
SC5,KOSARAK,252,201,0,9,0,0,42
SC5,LEVIATHAN,252,168,0,12,0,0,72
SC5,SIGN,247,208,0,2,0,0,37
SC6,KOSARAK,11,11,0,0,0,0,0
SC6,LEVIATHAN,11,11,0,0,0,0,0
SC6,SIGN,11,11,0,0,0,0,0
SC7,BIBLE,4,4,0,0,0,0,0
SC7,BMS1,6,1,4,1,0,0,0
SC7,FIFA,4,4,0,0,0,0,0
SC7,KOSARAK,6,6,0,0,0,0,0
SC7,LEVIATHAN,4,4,0,0,0,0,0
SC7,SIGN,6,6,0,0,0,0,0
